# ievent	Q2[GeV^2]	W2[GeV^2]	x	y
424 5.61447 10.2453 0.374814 0.27058
425 4.5682 12.1301 0.288798 0.286109
426 4.06162 10.4589 0.29777 0.246685
427 5.89346 7.67347 0.464543 0.228849
428 5.63757 8.18638 0.435549 0.23359
429 17.5469 16.7553 0.525013 0.602265
430 5.08525 12.4778 0.304821 0.301673
431 5.54926 7.98201 0.438645 0.228298
432 8.44251 13.9386 0.392662 0.388258
433 4.93654 9.1194 0.374673 0.238001
434 8.60574 12.7961 0.419354 0.370421
435 5.08006 10.4134 0.347636 0.264077
436 9.07223 11.4845 0.461072 0.354937
437 7.53915 8.88797 0.484934 0.280347
438 4.70969 10.2093 0.33548 0.253744
439 3.99463 10.6009 0.291255 0.248068
440 5.13313 8.87971 0.390873 0.237163
441 12.2158 8.1596 0.626611 0.350759
442 9.923 15.444 0.405241 0.442088
443 10.2224 14.5296 0.428224 0.43083
444 5.01618 10.6084 0.340213 0.266476
445 6.81123 14.4854 0.333618 0.369017
446 7.00961 16.0863 0.315527 0.40165
447 12.2624 14.2827 0.477793 0.46283
448 8.0193 10.7965 0.44712 0.323607
449 5.61553 8.39378 0.427721 0.236963
450 10.2433 14.7009 0.425672 0.434316
451 12.0376 18.5981 0.404553 0.537209
452 4.01112 10.4624 0.295084 0.245845
453 4.28322 9.16906 0.340697 0.227217
454 10.0506 4.81759 0.718524 0.251316
455 10.1961 12.2209 0.47343 0.388417
456 5.02341 9.62226 0.364932 0.24869
457 5.9151 11.7753 0.351878 0.303754
458 4.33906 11.3135 0.293732 0.267173
459 5.2484 13.2376 0.298109 0.318394
460 7.71928 9.35623 0.476641 0.292075
461 4.01731 9.9857 0.306135 0.237297
462 6.41363 14.2695 0.323875 0.357983
463 5.81187 13.3043 0.318706 0.329685
464 8.57609 5.73902 0.638351 0.241685
465 5.93181 14.8458 0.298121 0.359836
466 9.69038 6.10445 0.64973 0.268253
467 4.82472 10.7591 0.328135 0.265789
468 6.96707 16.6053 0.307027 0.410317
469 18.2655 25.9148 0.421837 0.781521
470 6.01299 9.50396 0.410819 0.264241
471 9.15528 20.5884 0.317194 0.521818
472 5.09675 9.44724 0.373016 0.246822
473 10.3963 26.0993 0.291906 0.644137
474 3.82718 10.005 0.295493 0.234246
475 4.37152 9.0422 0.348791 0.226492
476 9.39924 19.8715 0.331072 0.513156
477 8.11113 19.9569 0.298338 0.491671
478 8.57631 13.2109 0.410215 0.377431
479 7.73738 13.2456 0.384894 0.363057
480 13.277 16.8044 0.454677 0.526789
481 8.49831 11.1129 0.453707 0.337921
482 12.2303 29.6818 0.298069 0.742023
483 5.55995 13.7008 0.302494 0.332382
484 4.26778 9.77507 0.324238 0.23795
485 4.11192 10.688 0.295406 0.251747
486 5.73274 9.34913 0.403671 0.256416
487 17.7966 23.0241 0.445579 0.720619
488 11.3992 24.6161 0.324441 0.635124
489 4.47593 9.34333 0.345928 0.23383
490 4.43263 10.6866 0.311305 0.257458
491 4.93911 11.7798 0.31184 0.286379
492 7.20361 8.12998 0.498408 0.260575
493 4.06276 10.0727 0.306505 0.23969
494 10.8284 13.0638 0.470557 0.415038
495 9.37044 11.4333 0.470323 0.359341
496 8.5836 14.7915 0.381582 0.406278
497 12.5858 14.7178 0.476314 0.476519
498 15.6663 29.5761 0.353146 0.801553
499 13.9406 33.372 0.300235 0.839656
500 4.15971 9.14392 0.334832 0.224551
501 7.98964 8.71881 0.504776 0.285331
502 7.09368 11.3659 0.403527 0.317395
503 7.95911 7.58752 0.542681 0.264233
504 4.53228 9.81887 0.336452 0.243477
505 11.0241 10.0949 0.544705 0.364604
506 7.44746 7.31408 0.536515 0.250114
507 4.2458 11.1457 0.292588 0.262458
508 5.7599 14.7517 0.293404 0.355051
509 3.82385 9.37892 0.310317 0.222813
510 13.5579 17.1107 0.455143 0.537377
511 14.4552 23.3577 0.391395 0.666918
512 14.6581 33.1671 0.312242 0.848764
513 5.27591 7.57972 0.440567 0.2161
514 4.44709 11.1876 0.301408 0.26682
515 4.67361 9.99463 0.338965 0.249198
516 5.70447 7.35937 0.468213 0.219762
517 5.68292 10.7076 0.3664 0.280203
518 9.83682 22.227 0.315449 0.563778
519 5.45465 13.2249 0.306455 0.321853
520 6.55103 13.6495 0.339076 0.349177
521 6.85543 10.4114 0.418359 0.295794
522 9.51154 13.0586 0.438526 0.391391
523 5.10168 11.1343 0.332234 0.27756
524 10.3415 18.1158 0.375005 0.498111
525 21.029 19.9705 0.524164 0.722956
526 9.8381 10.0019 0.518897 0.341701
527 3.69654 9.67318 0.295975 0.225881
528 5.53856 8.62998 0.416803 0.239878
529 6.596 11.461 0.384009 0.310223
530 7.47607 11.368 0.416177 0.324272
531 8.06036 14.8491 0.365896 0.397966
532 5.7503 10.9942 0.362471 0.286616
533 7.18803 11.8439 0.395999 0.327768
534 6.96309 11.1246 0.404658 0.310677
535 7.59354 8.56037 0.497169 0.275368
536 9.88474 4.5678 0.728308 0.243811
537 8.35172 9.75389 0.484853 0.310611
538 4.2343 9.61592 0.326472 0.23446
539 12.9709 16.0423 0.461058 0.507468
540 6.8761 11.5272 0.392405 0.316435
541 5.81139 15.1036 0.290067 0.362366
542 5.18332 9.45686 0.376699 0.248546
543 15.5381 21.2994 0.432128 0.648892
544 5.70011 8.45558 0.429376 0.239599
545 3.72735 9.81794 0.294304 0.229062
546 5.50761 10.686 0.359664 0.276675
547 5.61375 9.36752 0.398112 0.254621
548 6.06437 8.57986 0.4406 0.248372
549 4.91032 9.59149 0.360484 0.246108
550 4.62675 9.64712 0.345447 0.242047
551 8.06151 16.3837 0.3421 0.425865
552 5.39913 14.0904 0.290133 0.336584
553 8.24209 11.8949 0.428013 0.347546
554 5.34269 13.9955 0.289454 0.33385
555 5.61121 10.1996 0.375823 0.269692
556 4.87778 9.27578 0.367491 0.239791
557 12.9708 30.4379 0.304992 0.769005
558 6.08338 12.0713 0.352164 0.31214
559 7.1622 10.9965 0.41452 0.31191
560 7.96804 14.4659 0.369685 0.389352
561 12.4158 27.55 0.317658 0.70661
562 5.95835 7.21861 0.484552 0.221746
563 6.43603 10.8996 0.391123 0.297161
564 10.7613 16.4263 0.409063 0.474926
565 18.965 24.7329 0.442925 0.772558
566 10.8222 15.5343 0.424799 0.45981
567 7.9759 12.8449 0.399985 0.360044
568 4.2378 9.01092 0.342632 0.223532
569 4.17412 9.11846 0.336291 0.224347
570 14.4724 17.6876 0.462678 0.564214
571 3.93745 10.3945 0.292711 0.243296
572 7.40049 14.8101 0.346949 0.385455
573 5.63367 7.93107 0.444142 0.228882
574 3.92139 10.3576 0.29267 0.242337
575 4.30059 8.68182 0.35536 0.218676
576 8.69592 22.1477 0.29022 0.541932
577 9.69403 18.714 0.352156 0.4974
578 11.6925 18.9244 0.393202 0.536964
579 5.1774 8.64722 0.399976 0.233731
580 11.5721 27.3414 0.304262 0.687731
581 5.48353 13.7883 0.298157 0.332605
582 4.69991 8.95743 0.367842 0.230826
583 7.99581 10.4964 0.454002 0.317734
584 6.62311 14.5358 0.326606 0.366569
585 10.1236 17.3701 0.380395 0.480668
586 10.2177 9.40714 0.545104 0.337685
587 11.8925 27.4867 0.308905 0.6961
588 17.3721 27.4671 0.39519 0.793743
589 8.23005 17.8615 0.326445 0.455728
590 7.52616 17.3459 0.313699 0.433772
591 8.67354 12.2561 0.432611 0.361824
592 4.55012 10.0917 0.330641 0.248753
593 5.43779 13.2626 0.30515 0.322237
594 9.07953 5.78819 0.649123 0.251582
595 5.74015 13.1945 0.317938 0.326408
596 16.849 26.3113 0.398511 0.763389
597 4.89561 8.51394 0.390736 0.22627
598 10.7426 25.0215 0.307955 0.630748
599 5.71562 10.3955 0.375268 0.275119
600 8.07143 17.6163 0.325364 0.448436
601 15.9691 25.264 0.395738 0.728626
602 9.48701 15.4937 0.393646 0.435193
603 14.7841 25.0467 0.379562 0.703485
604 4.22504 9.12212 0.338903 0.225324
605 5.07214 12.3826 0.306023 0.299709
606 12.5485 21.8113 0.374812 0.604722
607 6.46463 12.9025 0.349689 0.334061
608 11.3194 9.01655 0.581807 0.350294
609 6.74002 15.5287 0.315126 0.386697
610 8.11918 12.082 0.420229 0.348747
611 4.01098 10.0419 0.304496 0.238204
612 13.3044 17.76 0.440775 0.54464
613 5.81448 11.7987 0.34749 0.302378
614 5.8501 7.96595 0.452244 0.233387
615 12.1222 18.4844 0.407795 0.536657
616 5.84029 9.89646 0.393116 0.268282
617 21.585 20.463 0.524319 0.741847
618 3.97584 8.99407 0.328866 0.21854
619 5.65497 7.33703 0.466903 0.218471
620 7.64091 14.8315 0.353877 0.390143
621 4.56643 10.0576 0.332257 0.248425
622 17.1171 24.6946 0.418191 0.738814
623 3.39226 15.9776 0.18347 0.334375
624 7.26113 13.4583 0.366001 0.358403
625 5.91285 12.6678 0.334054 0.319928
626 5.03542 10.5393 0.342678 0.265564
627 4.58091 8.641 0.371178 0.222949
628 6.20086 15.2115 0.30201 0.371291
629 10.5061 18.4505 0.374198 0.507135
630 4.95036 8.23868 0.402184 0.222248
631 11.6459 22.0312 0.355092 0.592574
632 9.42104 8.52544 0.552031 0.307419
633 3.79657 9.13644 0.314998 0.21792
634 7.55865 10.9698 0.428298 0.318516
635 6.73909 14.8322 0.325702 0.374028
636 7.48933 11.5614 0.412172 0.328024
